ID	Gene Name	Species
ENSMUSG00000035439	4HAUS augmin-like complex, subunit 8	Mus musculus	
ENSMUSG00000026426	ADP-ribosylation factor-like 8A	Mus musculus	
ENSMUSG00000030105	ADP-ribosylation factor-like 8B	Mus musculus	
ENSMUSG00000026491	AT hook containing transcription factor 1	Mus musculus	
ENSMUSG00000061665	CD2-associated protein	Mus musculus	
ENSMUSG00000038416	CDC16 cell division cycle 16 homolog (S. cerevisiae)	Mus musculus	
ENSMUSG00000024370	CDC23 (cell division cycle 23, yeast, homolog)	Mus musculus	
ENSMUSG00000064302	CLIP associating protein 1	Mus musculus	
ENSMUSG00000033392	CLIP associating protein 2	Mus musculus	
ENSMUSG00000025077	DNA cross-link repair 1A, PSO2 homolog (S. cerevisiae)	Mus musculus	
ENSMUSG00000027635	DSN1, MIND kinetochore complex component, homolog (S. cerevisiae)	Mus musculus	
ENSMUSG00000024137	E4F transcription factor 1	Mus musculus	
ENSMUSG00000019773	F-box protein 5	Mus musculus	
ENSMUSG00000041840	HAUS augmin-like complex, subunit 1	Mus musculus	
ENSMUSG00000027285	HAUS augmin-like complex, subunit 2	Mus musculus	
ENSMUSG00000022177	HAUS augmin-like complex, subunit 4	Mus musculus	
ENSMUSG00000029003	MAD2 mitotic arrest deficient-like 2 (yeast)	Mus musculus	
ENSMUSG00000040599	MIS12 homolog (yeast)	Mus musculus	
ENSMUSG00000024056	NDC80 homolog, kinetochore complex component (S. cerevisiae)	Mus musculus	
ENSMUSG00000031644	NIMA (never in mitosis gene a)-related expressed kinase 1	Mus musculus	
ENSMUSG00000026622	NIMA (never in mitosis gene a)-related expressed kinase 2	Mus musculus	
ENSMUSG00000031478	NIMA (never in mitosis gene a)-related expressed kinase 3	Mus musculus	
ENSMUSG00000021918	NIMA (never in mitosis gene a)-related expressed kinase 4	Mus musculus	
ENSMUSG00000026749	NIMA (never in mitosis gene a)-related expressed kinase 6	Mus musculus	
ENSMUSG00000034290	NIMA (never in mitosis gene a)-related expressed kinase 9	Mus musculus	
ENSMUSG00000062510	NSL1, MIND kinetochore complex component, homolog (S. cerevisiae)	Mus musculus	
