\outl0\strokewidth0 \strokec2 ID	Gene Name	Species\
ENSMUSG00000025395	"DNA primase, p49 subunit"	Mus musculus
ENSMUSG00000057469	E2F transcription factor 6	Mus musculus
ENSMUSG00000049932	"H2A histone family, member X"	Mus musculus
ENSMUSG00000032113	checkpoint kinase 1 homolog (S. pombe)	Mus musculus
ENSMUSG00000028224	nibrin	Mus musculus
ENSMUSG00000027342	proliferating cell nuclear antigen; similar to proliferating cell nuclear antigen (DNA polymerase delta auxiliary protein)	Mus musculus
ENSMUSG00000023104	replication factor C (activator 1) 2	Mus musculus
ENSMUSG00000022881	replication factor C (activator 1) 4	Mus musculus
ENSMUSG00000059552	transformation related protein 53	Mus musculus
}		
