ID	Gene Name	Species	OFFICIAL_GENE_SYMBOL
ENSMUSG00000021670	3-hydroxy-3-methylglutaryl-Coenzyme A reductase	Mus musculus	HMGCR,
ENSMUSG00000035439	4HAUS augmin-like complex, subunit 8	Mus musculus	HAUS8,
ENSMUSG00000024944	ADP-ribosylation factor-like 2	Mus musculus	arl2,
ENSMUSG00000025035	ADP-ribosylation factor-like 3	Mus musculus	Arl3,
ENSMUSG00000030654	ADP-ribosylation factor-like 6 interacting protein 1	Mus musculus	arl6ip1,
ENSMUSG00000026426	ADP-ribosylation factor-like 8A	Mus musculus	ARL8A,
ENSMUSG00000030105	ADP-ribosylation factor-like 8B	Mus musculus	Arl8b,
ENSMUSG00000015971	ARP8 actin-related protein 8 homolog (S. cerevisiae)	Mus musculus	actr8,
ENSMUSG00000005470	ASF1 anti-silencing function 1 homolog B (S. cerevisiae)	Mus musculus	ASF1B,
ENSMUSG00000026491	AT hook containing transcription factor 1	Mus musculus	AHCTF1,
ENSMUSG00000025194	ATP-binding cassette, sub-family C (CFTR/MRP), member 2	Mus musculus	Abcc2,
ENSMUSG00000022822	ATP-binding cassette, sub-family C (CFTR/MRP), member 5	Mus musculus	abcc5,
ENSMUSG00000022360	ATPase family, AAA domain containing 2	Mus musculus	ATAD2,
ENSMUSG00000025646	ATR interacting protein	Mus musculus	ATRIP,
ENSMUSG00000002602	AXL receptor tyrosine kinase	Mus musculus	AXL,
ENSMUSG00000026159	ArfGAP with FG repeats 1	Mus musculus	AGFG1,
ENSMUSG00000026196	BRCA1 associated RING domain 1	Mus musculus	BARD1,
ENSMUSG00000030983	BRCA2 and CDKN1A interacting protein	Mus musculus	bccip,
ENSMUSG00000062098	BTB (POZ) domain containing 3; predicted gene 7712; similar to BTB/POZ domain containing protein 3	Mus musculus	Btbd3,Gm7712,LOC674368,
ENSMUSG00000025316	BTG3 associated nuclear protein	Mus musculus	BANP,
ENSMUSG00000005698	CCCTC-binding factor	Mus musculus	CTCF,
ENSMUSG00000061665	CD2-associated protein	Mus musculus	CD2AP,
ENSMUSG00000002885	CD97 antigen	Mus musculus	CD97,
ENSMUSG00000038416	CDC16 cell division cycle 16 homolog (S. cerevisiae)	Mus musculus	CDC16,
ENSMUSG00000024370	CDC23 (cell division cycle 23, yeast, homolog)	Mus musculus	CDC23,
ENSMUSG00000038069	CDKN2A interacting protein	Mus musculus	CDKN2AIP,
ENSMUSG00000029521	CHK2 checkpoint homolog (S. pombe)	Mus musculus	CHEK2,
ENSMUSG00000064302	CLIP associating protein 1	Mus musculus	Clasp1,
ENSMUSG00000033392	CLIP associating protein 2	Mus musculus	CLASP2,
ENSMUSG00000051451	CREB/ATF bZIP transcription factor	Mus musculus	Crebzf,
ENSMUSG00000033323	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) phosphatase, subunit 1	Mus musculus	Ctdp1,
ENSMUSG00000019214	CTF18, chromosome transmission fidelity factor 18 homolog (S. cerevisiae)	Mus musculus	Chtf18,
ENSMUSG00000002297	DBF4 homolog (S. cerevisiae)	Mus musculus	Dbf4,
ENSMUSG00000040296	DEAD (Asp-Glu-Ala-Asp) box polypeptide 58	Mus musculus	DDX58,
ENSMUSG00000035842	DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 11 (CHL1-like helicase homolog, S. cerevisiae)	Mus musculus	DDX11,
ENSMUSG00000034931	DEAH (Asp-Glu-Ala-His) box polypeptide 8	Mus musculus	DHX8,
ENSMUSG00000021697	DEP domain containing 1B	Mus musculus	DEPDC1B,
ENSMUSG00000027173	DEP domain containing 7	Mus musculus	DEPDC7,
ENSMUSG00000053333	DIS3 mitotic control homolog (S. cerevisiae)-like 2	Mus musculus	DIS3L2,
ENSMUSG00000032064	DIX domain containing 1	Mus musculus	DIXDC1,
ENSMUSG00000022429	DMC1 dosage suppressor of mck1 homolog, meiosis-specific homologous recombination (yeast)	Mus musculus	dmc1,
ENSMUSG00000025077	DNA cross-link repair 1A, PSO2 homolog (S. cerevisiae)	Mus musculus	DCLRE1A,
ENSMUSG00000027478	DNA methyltransferase 3B	Mus musculus	DNMT3B,
