\outl0\strokewidth0 \strokec2 D	Gene Name	Species\
ENSMUSG00000055024	E1A binding protein p300	Mus musculus
ENSMUSG00000027490	E2F transcription factor 1	Mus musculus
ENSMUSG00000018983	E2F transcription factor 2	Mus musculus
ENSMUSG00000016477	E2F transcription factor 3	Mus musculus
ENSMUSG00000014859	E2F transcription factor 4	Mus musculus
ENSMUSG00000027552	E2F transcription factor 5	Mus musculus
ENSMUSG00000057469	E2F transcription factor 6	Mus musculus
ENSMUSG00000020185	E2F transcription factor 7	Mus musculus
ENSMUSG00000046179	E2F transcription factor 8	Mus musculus
ENSMUSG00000021250	FBJ osteosarcoma oncogene	Mus musculus
ENSMUSG00000000708	K(lysine) acetyltransferase 2B; predicted gene 5109	Mus musculus
ENSMUSG00000072980	Opa interacting protein 5	Mus musculus
ENSMUSG00000006705	Pbx/knotted 1 homeobox	Mus musculus
ENSMUSG00000030079	RuvB-like protein 1	Mus musculus
ENSMUSG00000031314	"TAF1 RNA polymerase II, TATA box binding protein (TBP)-associated factor"	Mus musculus
ENSMUSG00000020171	YEATS domain containing 4	Mus musculus
ENSMUSG00000040760	"adaptor protein, phosphotyrosine interaction, PH domain and leucine zipper containing 1"	Mus musculus
ENSMUSG00000020263	"adaptor protein, phosphotyrosine interaction, PH domain and leucine zipper containing 2"	Mus musculus
ENSMUSG00000019256	aryl-hydrocarbon receptor	Mus musculus
ENSMUSG00000014668	checkpoint with forkhead and ring finger domains	Mus musculus
ENSMUSG00000021548	cyclin H	Mus musculus
ENSMUSG00000025358	cyclin-dependent kinase 2	Mus musculus
ENSMUSG00000069089	cyclin-dependent kinase 7 (homolog of Xenopus MO15 cdk-activating kinase)	Mus musculus
ENSMUSG00000029687	enhancer of zeste homolog 2 (Drosophila)	Mus musculus
ENSMUSG00000028291	hypothetical protein LOC100046298; akirin 2	Mus musculus
ENSMUSG00000021109	"hypoxia inducible factor 1, alpha subunit"	Mus musculus
ENSMUSG00000030330	"inhibitor of growth family, member 4"	Mus musculus
ENSMUSG00000040738	integrator complex subunit 8	Mus musculus
ENSMUSG00000020801	"mediator of RNA polymerase II transcription, subunit 31 homolog (yeast)"	Mus musculus
ENSMUSG00000021103	menage a trois 1	Mus musculus
ENSMUSG00000029004	myeloid/lymphoid or mixed-lineage leukemia 5	Mus musculus
ENSMUSG00000010097	nuclear RNA export factor 1 homolog (S. cerevisiae)	Mus musculus
ENSMUSG00000020994	pinin	Mus musculus
ENSMUSG00000020850	pre-mRNA processing factor 8	Mus musculus
ENSMUSG00000038482	predicted gene 7390; transcription factor Dp 1; similar to Transcription factor Dp-1 (E2F dimerization partner 1) (DRTF1-polypeptide 1)	Mus musculus
ENSMUSG00000023932	predicted gene 9040; predicted gene 9046; predicted gene 9029; predicted gene 9048; cell division cycle 5-like (S. pombe); predicted gene 9049; predicted gene 9044; predicted gene 9030; predicted gene 9045	Mus musculus
ENSMUSG00000022105	retinoblastoma 1	Mus musculus
ENSMUSG00000057236	retinoblastoma binding protein 4	Mus musculus
ENSMUSG00000027641	retinoblastoma-like 1 (p107)	Mus musculus
ENSMUSG00000031666	retinoblastoma-like 2	Mus musculus
ENSMUSG00000006728	similar to Cell division protein kinase 4 (Cyclin-dependent kinase 4) (PSK-J3) (CRK3); cyclin-dependent kinase 4	Mus musculus
ENSMUSG00000031609	sin3 associated polypeptide	Mus musculus
ENSMUSG00000032411	transcription factor Dp 2	Mus musculus
}		
